0,3,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,1,1
1,3,2
2,3,1
1,1,0
0,2,0
0,2,0
0,1,0
0,2,4
4,1,5
0,3,0
0,0,0
0,0,0
0,3,0
0,3,0
0,0,0
0,3,0
0,2,0
0,2,1
1,1,0
0,3,0
0,0,4
4,0,0
0,3,1
1,0,5
0,3,0
0,3,1
1,3,2
2,2,2
2,2,3
3,1,7
0,1,0
0,0,0
0,2,4
4,1,4
4,3,4
4,2,5
0,2,1
1,1,0
0,0,0
0,0,0
0,2,0
0,0,0
0,1,0
0,0,4
4,0,0
0,0,0
0,3,0
0,2,0
0,2,4
4,2,8
8,1,12
0,3,0
0,2,0
0,1,0
0,3,0
0,0,0
0,3,1
1,2,5
0,0,0
0,1,1
1,3,1
1,1,5
0,3,1
1,3,2
2,2,2
2,2,6
6,0,5
0,2,0
0,3,0
0,3,0
0,0,4
4,3,0
0,0,4
4,0,8
8,0,4
4,1,5
0,1,0
0,1,1
1,3,1
1,3,2
2,0,6
6,0,5
0,1,0
0,0,4
4,2,8
8,1,12
0,0,0
0,0,4
4,2,0
0,2,4
4,2,8
8,3,4
4,0,8
8,3,8
8,1,8
8,3,4
4,2,5
0,0,0
0,0,4
4,3,4
4,1,8
8,3,4
4,2,8
8,1,9
9,1,8
8,1,9
9,2,10
10,1,9
9,3,5
0,3,1
1,3,0
0,2,0
0,3,0
0,2,0
0,1,0
0,1,4
4,1,5
0,0,0
0,1,0
0,0,0
0,3,0
0,2,0
0,2,0
0,3,0
0,0,0
0,3,1
1,0,0
0,2,4
4,0,4
4,0,8
8,3,8
8,1,12
0,2,0
0,3,0
0,3,0
0,1,0
0,2,4
4,1,8
8,3,8
8,0,4
4,2,8
8,1,12
0,2,1
1,2,2
2,1,3
3,2,7
0,3,0
0,2,4
4,0,8
8,1,9
9,0,5
0,2,1
1,2,1
1,1,2
2,0,6
6,1,10
10,0,14
14,1,14
14,1,13
13,2,13
13,2,9
9,1,10
10,0,14
14,1,13
13,2,14
14,1,13
13,2,14
14,1,13
13,2,13
13,2,13
13,2,9
9,0,8
8,0,12
0,0,0
0,2,1
1,2,5
0,1,1
1,0,0
0,2,4
4,1,5
0,2,0
0,1,1
1,3,1
1,3,1
1,3,0
0,3,1
1,3,2
2,1,3
3,1,7
0,1,4
4,2,5
0,1,1
1,0,1
1,3,1
1,0,0
0,0,4
4,3,4
4,2,0
0,2,1
1,3,0
0,3,0
0,2,1
1,3,2
2,3,1
1,0,5
0,1,4
4,1,8
8,0,12
0,0,4
4,0,0
0,1,1
1,2,2
2,1,3
3,3,3
3,1,2
2,1,1
1,1,2
2,2,3
3,3,3
3,0,2
2,2,6
6,1,10
10,0,6
6,1,10
10,0,14
14,3,13
13,2,14
14,1,13
13,2,9
9,1,10
10,0,14
14,1,14
14,1,14
14,1,13
13,1,13
13,2,9
9,2,13
13,2,14
14,1,15
0,2,0
0,2,1
1,1,5
0,0,0
0,1,4
4,0,0
0,3,1
1,2,2
2,2,3
3,3,2
2,1,3
3,3,3
3,0,2
2,0,1
1,0,0
0,3,1
1,0,0
0,1,0
0,0,4
4,1,4
4,3,4
4,0,8
8,2,9
9,1,8
8,3,8
8,3,9
9,1,10
10,0,6
6,1,7
0,1,1
1,1,2
2,0,2
2,1,1
1,2,1
1,1,2
2,1,6
6,1,7
0,2,0
0,2,4
4,3,4
4,0,4
4,0,8
8,1,12
0,0,4
4,1,4
4,2,8
8,3,4
4,0,0
0,1,4
4,0,8
8,2,12
0,3,0
0,3,0
0,1,0
0,1,0
0,1,1
1,0,5
0,1,4
4,0,8
8,0,4
4,3,4
4,2,0
0,2,0
0,0,4
4,1,5
0,1,1
1,2,2
2,1,6
6,1,7
0,1,4
4,2,8
8,3,8
8,1,9
9,2,10
10,1,9
9,2,10
10,0,6
6,3,2
2,1,3
3,1,3
3,2,3
3,3,3
3,2,3
3,0,7
0,1,0
0,0,0
0,2,4
4,0,8
8,1,8
8,3,8
8,3,8
8,1,8
8,0,8
8,1,8
8,0,12
0,2,1
1,0,0
0,1,0
0,2,4
4,1,5
0,0,0
0,3,1
1,3,1
1,3,0
0,2,1
1,1,0
0,3,1
1,0,5
0,2,0
0,1,4
4,2,0
0,0,4
4,0,8
8,2,12
0,2,0
0,3,0
0,1,4
4,0,0
0,1,0
0,1,4
4,3,5
0,2,0
0,3,0
0,2,1
1,0,1
1,2,5
0,0,0
0,2,4
4,0,0
0,0,0
0,2,4
4,1,5
0,3,1
1,3,0
0,3,1
1,1,0
0,1,4
4,3,5
0,1,0
0,1,0
0,1,1
1,1,0
0,1,0
0,3,0
0,0,0
0,3,1
1,3,0
0,2,1
1,1,0
0,3,0
0,1,1
1,2,2
2,2,6
6,2,10
10,0,6
6,1,7
0,3,0
0,2,1
1,3,1
1,0,1
1,3,1
1,2,2
2,2,3
3,0,3
3,2,7
0,3,0
0,3,1
1,1,0
0,3,0
0,0,0
0,0,0
0,0,0
0,1,1
1,2,5
0,0,0
0,2,4
4,1,5
0,3,1
1,2,5
0,0,4
4,0,4
4,0,4
4,0,8
8,3,4
4,1,4
4,3,4
4,2,0
0,0,4
4,0,4
4,2,5
0,0,0
0,0,4
4,1,5
0,3,1
1,3,1
1,2,2
2,2,2
2,2,3
3,2,7
0,3,1
1,1,5
0,1,1
1,3,2
2,0,6
6,0,10
10,0,9
9,0,13
13,1,12
0,2,1
1,2,2
2,1,6
6,2,7
0,1,1
1,2,2
2,1,1
1,3,1
1,3,0
0,2,1
1,2,1
1,3,1
1,2,2
2,0,1
1,2,2
2,0,1
1,2,1
1,2,2
2,3,1
1,3,2
2,2,6
6,2,10
10,0,14
14,1,13
13,2,9
9,2,10
10,0,14
14,3,15
0,3,1
1,1,0
0,2,4
4,2,0
0,2,4
4,2,8
8,1,12
0,3,0
0,2,4
4,3,5
0,3,1
1,1,0
0,3,0
0,0,0
0,1,0
0,1,0
0,0,0
0,3,1
1,0,1
1,2,5
0,3,0
0,3,0
0,0,0
0,1,1
1,3,0
0,2,0
0,0,0
0,2,4
4,0,0
0,3,0
0,0,0
0,3,0
0,1,0
0,0,0
0,0,0
